time,price,size,brs,title,link,location
2016-09-26 10:43:00,3150.0,1100.0,2.0,2BR/2BA Beautiful New Renovation Close to Shops and BART,/eby/apa/5788937301.html,berkeley
2016-09-26 10:27:00,3900.0,1800.0,3.0,New Price Private 3 BR/ 2 BA North Berkely home nestled in redwoods,/eby/apa/5783154963.html,berkeley
2016-09-26 10:25:00,1795.0,,1.0,Spacious First Floor 1BD/1BA with Parking,/eby/apa/5793025629.html,berkeley
2016-09-26 10:19:00,1950.0,,1.0,Beautiful 1bdr./1ba Apartment Available 11/1/2016,/eby/apa/5796981140.html,berkeley
2016-09-26 10:19:00,4600.0,2200.0,3.0,A Warming Home Near the India Rock,/eby/apa/5800017971.html,berkeley
2016-09-26 10:16:00,2700.0,667.0,2.0,Students Short walk to Campus 1/2 off 2nd Month,/eby/apa/5782027816.html,berkeley
2016-09-26 10:15:00,3100.0,,2.0,Beautiful Sunny Remodeled 2 Bd near DT Berkeley BART  Cal Campus,/eby/apa/5800036863.html,berkeley
2016-09-26 10:12:00,4786.0,827.0,2.0,Penthouse Avialable ,/eby/apa/5800030209.html,berkeley
2016-09-26 10:09:00,5500.0,,4.0,Spacious North Berkeley 4 Bedroom,/eby/apa/5784991378.html,berkeley
2016-09-26 10:09:00,5950.0,2900.0,4.0,Beautiful Berkeley Hills Home,/eby/apa/5761556814.html,berkeley
2016-09-26 10:07:00,3095.0,790.0,1.0,Amazing New Building w/ a Great Move In Special,/eby/apa/5796184692.html,berkeley
2016-09-26 10:04:00,2075.0,,1.0,Renovated Junior 1 Bedroom w/ Stainless Steel Appliances,/eby/apa/5793000511.html,berkeley
2016-09-26 10:04:00,2695.0,540.0,1.0,Great Location  Great Move In Special ,/eby/apa/5761753488.html,berkeley
2016-09-26 10:01:00,2020.0,699.0,2.0,Beautiful and Sunny One Bedroom thats Perfect for Fall,/eby/apa/5800007427.html,berkeley
2016-09-26 09:57:00,2595.0,850.0,2.0,Loft of 2 br  1 1/2 bath,/eby/apa/5783687124.html,berkeley
2016-09-30 13:12:00,3800.0,1200.0,2.0,Completely renovated 2bed/1bath Berkeley home  available immediately,/eby/apa/5806892393.html,berkeley
2016-09-30 13:04:00,2995.0,850.0,2.0,Large 2 Bedroom Apartment in Prime North Berkeley Location,/eby/apa/5795784740.html,berkeley
2016-09-30 13:02:00,2100.0,600.0,1.0,Berkeley cottage furnished private,/eby/apa/5806875556.html,berkeley
2016-09-30 12:28:00,3995.0,,3.0,Albany Fantastic Opportunity at a Great Price,/eby/apa/5799524881.html,berkeley
2016-09-30 12:02:00,4150.0,958.0,2.0,New luxury community Spacious 2BR w/wood floor  Movein Ready,/eby/apa/5806766311.html,berkeley
2016-09-30 12:01:00,3275.0,706.0,1.0,Show off a little Check out Parkers modern 1BR w/open concept,/eby/apa/5806764324.html,berkeley
2016-09-30 11:48:00,2768.0,910.0,2.0,2 BR Apartment Home,/eby/apa/5806610241.html,berkeley
2016-09-30 11:40:00,4200.0,1000.0,3.0,SUNNY VICTORIAN 3 BR DUPLEXBY  BERKELEY BOWL,/eby/apa/5806725346.html,berkeley
2016-09-30 11:29:00,2235.0,672.0,1.0,1 BR Apartment Home,/eby/apa/5806627106.html,berkeley
2016-09-30 11:18:00,4159.0,786.0,2.0,Penthouse....,/eby/apa/5806684555.html,berkeley
2016-09-30 11:13:00,3350.0,900.0,2.0,Sunny 2br in central location,/eby/apa/5806674671.html,berkeley
2016-09-30 11:12:00,3355.0,950.0,2.0,ONE MONTH FREE RENOVATED 2 Bedroom in a ParkLike Setting,/eby/apa/5806648741.html,berkeley
2016-09-30 10:57:00,1975.0,,2.0,apt,/eby/apa/5799769931.html,berkeley
2016-09-30 10:45:00,2673.0,864.0,2.0,2 BR Apartment Home,/eby/apa/5806577815.html,berkeley
2016-09-30 10:33:00,2850.0,710.0,1.0,1 Bdrm Private Cottage,/eby/apa/5797340234.html,berkeley
2016-09-30 10:10:00,2300.0,650.0,1.0,One bedroom Block from the Greek Theatre,/eby/apa/5806552446.html,berkeley
2016-09-30 09:49:00,2429.0,735.0,1.0,Do Not Miss Out 500 off Your Move In Cost Call Now,/eby/apa/5806474363.html,berkeley
