,INSTNM,STABBR,ADM_RATE_ALL,SATMTMID,SATVRMID,SAT_AVG_ALL,AVGFACSAL,TUITFTE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,RET_FT4,PCTFLOAN,C150_4,mn_earn_wne_p10,md_earn_wne_p10,PFTFAC
4313,Trinity Lutheran College,WA,1487,454,444,898,4771,9726,27042,27042,2,192,0.5417,0.1458,0.1667,0.0521,0.0104,0.0208,0,0.0573,0.0052,0.438461539,0.115384615,0.153846154,0.176923077,0.115384615,0.6744,0.6932,0.8571,PrivacySuppressed,PrivacySuppressed,0.7059
4318,Northwest University,WA,1508,520,540,1079,6395,14013,25934,25934,2,1354,0.7312,0.0325,0.079,0.0539,0.0118,0.0103,0.0244,0.0199,0.0369,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7773,0.6487,0.4294,43500,40200,0.2521
4321,Pacific Lutheran University,WA,1112,550,550,1112,7369,17987,34740,34740,2,3062,0.7084,0.0278,0.0709,0.0607,0.0078,0.0052,0.0712,0.0392,0.0088,0.291735537,0.138016529,0.172727273,0.199173554,0.198347107,0.8183,0.644,0.7045,48500,45900,0.8526
4323,University of Puget Sound,WA,1323,605,620,1233,9228,25089,41868,41868,2,2542,0.7506,0.0083,0.0724,0.0688,0.0016,0.0004,0.0893,0.0028,0.0059,0.283704572,0.104337632,0.114888628,0.144196952,0.352872216,0.8669,0.5632,0.7816,55100,51500,0.8448
4325,Saint Martin's University,WA,1368,540,525,1057,6350,14109,30284,30284,2,1299,0.5366,0.0631,0.1216,0.0554,0.0085,0.0185,0.0801,0.0662,0.05,0.351758794,0.184254606,0.179229481,0.144053601,0.140703518,0.8289,0.5742,0.4774,50500,47400,0.4074
4329,Seattle Pacific University,WA,959,560,575,1145,8258,18629,33813,33813,2,3354,0.6556,0.0358,0.0844,0.1052,0.0036,0.0009,0.0754,0.0206,0.0185,0.295918367,0.132653061,0.168027211,0.175510204,0.227891157,0.8546,0.6689,0.6899,50800,43900,0.5627
4330,Seattle University,WA,997,580,580,1175,9051,24756,36465,36465,2,4595,0.4699,0.0322,0.0908,0.1602,0.0059,0.0067,0.0694,0.1032,0.0618,0.289761751,0.111397296,0.153895686,0.162266581,0.282678686,0.8602,0.5757,0.7663,58700,55200,0.7077
4339,Walla Walla University,WA,1451,530,530,1072,4638,17298,25377,25377,2,1646,0.7327,0.0255,0.1252,0.0529,0.0115,0.0043,0.0006,0.0176,0.0298,0.264011799,0.160766962,0.174041298,0.172566372,0.228613569,0.7741,0.6228,0.4593,49800,45800,0.9496
4340,Washington State University,WA,1246,520,510,1030,8547,10434,12327,25409,1,22825,0.6648,0.0331,0.1065,0.0526,0.0063,0.0042,0.0686,0.0426,0.0214,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7977,0.5109,0.6548,52200,46400,0.7903
4344,University of Washington-Seattle Campus,WA,531,645,585,1203,10461,17091,12397,31971,1,28754,0.4399,0.0267,0.0692,0.2422,0.0066,0.0048,0.0518,0.1407,0.0181,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9303,0.3261,0.8183,61300,52100,0.7258
4347,Western Washington University,WA,1291,550,555,1114,8028,7992,8863,19752,1,13925,0.7534,0.0156,0.068,0.0641,0.0043,0.0014,0.0759,0.0099,0.0074,0.334135667,0.136105033,0.150765864,0.166739606,0.212253829,0.8282,0.4661,0.6932,46100,43200,0.6493
4349,Whitman College,WA,510,652,670,1327,8715,27409,43500,43500,2,1525,0.7246,0.0125,0.0774,0.0643,0.0033,0.0046,0.0439,0.0348,0.0348,0.145299145,0.074074074,0.162393162,0.188034188,0.43019943,0.9396,0.3587,0.8775,51900,43000,0.7552
4352,Alderson Broaddus University,WV,240,490,470,989,4924,9586,22740,22740,2,1032,0.7403,0.1609,0.0397,0.0116,0.0068,0,0.0107,0.03,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5761,0.8232,0.4575,47900,43400,1
4354,Appalachian Bible College,WV,1420,437,511,1026,2978,6377,12945,12945,2,204,0.9559,0,0.0245,0.0049,0.0049,0,0,0.0098,0,0.431506849,0.232876712,0.164383562,PrivacySuppressed,PrivacySuppressed,0.5957,0.2902,0.6207,31600,27900,1
